# Mains_Frequency_(Hz) =,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sample_Frequency_(Hz) =,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Filter_Delay_(ms) =,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sensor_Data_Units =,uV,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Headset_Name =,DSI-24 SN:3129,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data_Logger =,DSI-Streamer-v.1.08.120,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date =,8/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time =, 12:21:15.311 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Patient_ID =,X M 01-JAN-2000 X,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Record_ID =,Startdate 13-AUG-2025 EEG_XX X X,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Comments =,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference location:,Pz,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Trigger Source,Wired,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Channel_Number =,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,CMF,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments
Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3:,X2:REOG,F7,F8,X1:LEOG,A2,T6,T4,Pz,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments
11.8267,48.3,-67.7,66.4,6.9,43.2,-50.9,-46.7,-9.3,-1115.6,13.5,116.8,125.7,-55.4,-60.3,-27.5,-81.5,-9.9,-3753.9,112.4,-29.3,-2274.0,-21.6,-60.3,-76.2,0,0,21294,0,228,0,
11.8300,91.5,12.0,137.1,90.6,102.2,24.6,22.4,103.9,-1413.1,67.3,177.7,180.1,20.1,-1.2,35.6,-27.0,-9.9,-3676.2,192.1,43.0,-2199.9,36.0,-2.4,-19.1,0,0,21300,0,229,0,
11.8333,29.1,-61.4,80.2,19.8,42.6,-51.2,-48.2,18.8,-1115.6,8.1,132.9,133.8,-41.0,-48.9,-27.8,-86.6,-9.6,-3733.5,136.6,-16.7,-2260.5,-13.8,-61.5,-87.3,0,0,21306,0,230,0,
11.8367,109.8,-19.8,118.2,59.1,89.0,19.2,1.8,35.2,-1041.3,49.9,169.3,170.5,-2.1,-14.4,14.0,-41.9,-9.3,-3693.9,171.7,14.3,-2223.0,22.8,-18.3,-38.0,0,0,21312,0,231,0,
11.8400,65.4,-19.8,105.6,61.8,67.4,-18.6,-6.6,81.5,-1190.0,32.0,149.9,154.4,-20.1,-36.3,7.2,-55.1,-9.9,-3700.5,162.1,17.3,-2226.9,8.4,-30.6,-40.7,0,0,21318,0,232,0,
11.8433,40.8,-52.7,74.2,9.6,43.2,-39.5,-39.2,6.3,-1115.6,4.5,120.6,126.9,-41.6,-52.2,-19.7,-74.3,-9.9,-3734.1,121.4,-24.5,-2256.0,-15.0,-51.3,-54.1,0,0,21324,0,233,0,
11.8467,81.9,-18.0,112.8,57.0,78.2,-0.3,4.2,46.0,-1190.0,51.1,158.9,163.3,-12.0,-22.5,15.8,-37.7,-9.6,-3705.3,169.6,20.9,-2224.2,21.0,-17.4,-33.2,0,0,21330,0,234,0,
11.8500,32.4,-41.9,79.6,33.9,48.8,-22.5,-21.8,56.2,-1264.4,17.0,127.8,134.7,-41.6,-55.5,-14.0,-66.5,-9.6,-3722.7,140.2,3.9,-2239.2,-3.6,-41.7,-47.5,0,0,21336,0,235,0,
11.8533,82.2,-38.3,101.7,39.9,76.4,-6.9,-9.3,18.2,-966.9,45.7,158.0,164.5,-24.9,-29.1,7.5,-46.1,-9.9,-3728.7,155.5,16.7,-2242.8,19.2,-21.9,-38.3,0,0,21342,0,236,0,
11.8567,63.9,-49.1,92.8,44.1,65.0,-3.0,-12.3,46.0,-1264.4,24.8,141.0,148.1,-29.6,-50.1,-6.0,-59.0,-9.6,-3729.3,150.4,7.5,-2249.1,-2.4,-33.9,-43.3,0,0,21348,0,237,0,
11.8600,52.5,-36.5,105.9,54.6,80.0,-9.3,-4.8,66.9,-1041.3,42.8,158.9,168.7,-18.3,-32.7,5.4,-44.3,-9.9,-3719.1,160.3,29.6,-2237.7,18.9,-20.1,-43.3,0,0,21354,0,238,0,
11.8633,48.3,-61.1,84.1,19.5,55.7,-35.4,-35.9,-3.3,-1115.6,23.0,138.9,143.0,-31.7,-51.6,-16.4,-70.4,-9.6,-3763.5,138.1,-14.6,-2267.1,-4.5,-48.9,-53.8,0,0,21360,0,239,0,
11.8667,78.3,-13.5,117.0,70.2,84.5,-2.1,0.9,83.9,-1264.4,43.7,168.1,171.4,6.6,-21.6,18.2,-42.5,-9.9,-3715.2,172.3,39.7,-2214.3,19.2,-23.7,-39.2,0,0,21366,0,240,0,
11.8700,57.0,-52.1,91.0,27.6,61.7,-31.8,-30.2,25.7,-1115.6,33.8,144.2,150.5,-19.5,-42.0,-6.6,-65.3,-9.6,-3731.4,145.0,6.9,-2223.6,2.4,-42.6,-54.4,0,0,21372,0,241,0,
11.8733,74.1,-36.5,89.8,28.5,57.5,-30.0,-29.0,8.1,-1190.0,25.1,142.7,145.1,-27.3,-43.5,-10.5,-68.3,-9.6,-3735.3,144.4,-1.8,-2229.9,-0.9,-47.1,-59.5,0,0,21378,0,242,0,
11.8767,79.2,2.1,124.8,76.2,89.0,8.7,10.8,97.1,-1338.8,58.0,172.3,174.1,6.9,-10.2,26.0,-33.2,-9.9,-3702.0,183.1,40.9,-2194.2,28.2,-12.9,-22.7,0,0,21384,0,243,0,
11.8800,22.2,-70.9,64.6,-2.4,32.1,-54.5,-52.3,-18.5,-1190.0,8.4,119.5,121.5,-52.4,-67.5,-35.0,-89.6,-9.6,-3759.6,121.1,-29.9,-2250.6,-24.0,-67.2,-81.6,0,0,21390,0,244,0,
11.8833,111.3,8.4,131.7,73.5,94.1,24.6,20.6,69.9,-1115.6,57.1,177.1,176.5,20.7,-2.4,33.5,-27.9,-9.6,-3714.0,189.7,33.5,-2207.7,31.8,-9.6,-31.7,0,0,21396,0,245,0,
11.8867,47.4,-43.1,87.7,36.0,52.1,-33.9,-26.9,51.1,-1413.1,24.8,135.9,133.8,-26.4,-43.2,-6.3,-69.8,-9.3,-3766.8,144.7,1.8,-2249.1,-9.0,-48.9,-56.5,0,0,21402,0,246,0,
11.8900,69.6,-42.2,95.5,28.5,60.8,-28.2,-24.8,3.9,-1041.3,43.4,154.1,150.2,-19.8,-35.7,-6.3,-59.0,-9.6,-3764.7,154.6,-6.6,-2246.4,2.1,-34.5,-53.2,0,0,21408,0,247,0,
11.8933,85.2,-4.5,120.6,70.8,88.7,14.4,9.0,74.7,-1487.5,62.5,166.9,166.3,2.1,-21.0,16.4,-41.3,-9.3,-3712.8,178.6,35.9,-2196.6,21.0,-14.1,-27.2,0,0,21414,0,248,0,
11.8967,14.7,-59.0,82.3,21.0,47.6,-36.0,-41.0,25.4,-1115.6,26.0,137.1,138.0,-37.7,-50.1,-15.2,-72.8,-9.6,-3753.3,144.1,-12.3,-2247.9,-2.4,-48.9,-61.3,0,0,21420,0,249,0,
11.9000,90.6,-26.0,114.0,48.9,80.9,-3.6,-8.1,21.2,-1115.6,58.0,171.1,170.8,-15.9,-18.6,17.3,-39.8,-9.6,-3732.6,174.4,20.3,-2230.8,26.7,-13.2,-24.5,0,0,21426,0,250,0,
11.9033,56.7,-30.8,96.7,46.8,57.2,-14.7,-24.2,57.0,-1264.4,23.9,146.9,146.3,-32.6,-44.7,-3.3,-63.8,-9.6,-3750.6,155.2,10.2,-2250.6,-0.6,-40.2,-50.2,0,0,21432,0,251,0,
11.9067,59.4,-36.5,106.8,45.3,75.2,-28.2,-21.8,29.9,-1264.4,54.1,163.1,167.5,-11.4,-24.3,8.7,-47.6,-9.9,-3716.1,161.2,17.3,-2220.3,25.5,-24.6,-32.3,0,0,21438,0,252,0,
11.9100,64.2,-50.0,90.4,32.4,61.1,-18.0,-31.4,12.2,-1115.6,13.8,139.5,142.4,-32.3,-41.1,-5.1,-65.9,-9.9,-3746.4,147.1,-2.7,-2256.3,1.2,-42.9,-62.5,0,0,21444,0,253,0,
11.9133,51.9,-18.3,121.5,72.3,88.4,6.3,-1.8,83.9,-1413.1,55.9,167.8,174.4,-3.3,-24.9,16.4,-41.6,-9.6,-3705.0,180.1,37.4,-2217.0,24.9,-20.1,-33.2,0,0,21450,0,254,0,
11.9167,48.9,-67.7,85.3,21.6,58.1,-53.9,-42.5,-6.3,-892.5,20.6,142.7,146.9,-35.0,-51.3,-14.6,-67.4,-9.6,-3754.8,138.1,-7.5,-2277.6,2.1,-44.7,-60.7,0,0,21456,0,255,0,
11.9200,91.2,-23.6,112.8,62.1,81.2,-7.5,-5.1,49.0,-1264.4,34.7,155.9,160.7,-8.7,-30.3,12.0,-45.8,-9.9,-3735.0,163.3,22.1,-2258.7,10.5,-26.1,-44.8,0,0,21462,0,0,0,
11.9233,60.9,-22.8,114.0,61.5,79.4,-15.9,-6.3,67.2,-1115.6,45.7,161.6,163.1,0.9,-26.4,12.6,-40.4,-9.3,-3689.1,168.7,23.3,-2211.6,20.4,-21.3,-42.7,0,0,21468,0,1,0,
11.9267,43.5,-73.0,67.9,5.7,40.2,-54.2,-49.7,-26.0,-1115.6,10.5,124.8,124.8,-45.8,-59.7,-25.4,-77.3,-9.6,-3752.4,123.2,-28.4,-2274.0,-17.4,-60.3,-75.0,0,0,21474,0,2,0,
11.9300,88.2,1.5,130.8,83.7,98.0,14.1,19.4,88.4,-1338.8,57.7,181.0,182.2,14.1,-5.7,35.6,-19.2,-9.6,-3692.7,184.9,43.0,-2215.2,33.3,-3.9,-32.0,0,0,21480,0,3,0,
11.9333,18.9,-77.2,60.7,5.4,38.4,-57.8,-54.1,3.9,-1190.0,4.5,116.2,122.1,-55.1,-66.0,-24.8,-77.3,-9.9,-3765.9,115.1,-16.7,-2280.9,-20.7,-61.8,-85.5,0,0,21486,0,4,0,
11.9367,95.4,-30.5,99.7,42.3,71.9,-19.8,-12.0,17.0,-966.9,44.2,152.3,156.5,-20.4,-24.6,17.0,-37.7,-9.6,-3723.6,153.7,-0.9,-2250.0,14.7,-23.1,-45.1,0,0,21492,0,5,0,
11.9400,53.4,-33.8,96.7,55.2,68.9,-12.0,-12.0,69.0,-1338.8,27.5,143.9,149.3,-31.7,-40.8,8.1,-47.3,-9.6,-3724.2,152.2,16.4,-2247.0,4.8,-32.4,-58.9,0,0,21498,0,6,0,
11.9433,33.6,-56.9,75.1,14.1,47.9,-43.4,-45.2,-0.9,-966.9,16.1,125.7,131.7,-53.6,-54.9,-10.2,-67.4,-9.3,-3756.0,123.5,-17.6,-2279.1,-12.0,-51.9,-67.0,0,0,21504,0,7,0,
11.9467,80.7,-28.7,110.7,58.2,84.8,6.0,-4.2,45.7,-1190.0,52.6,160.4,167.2,-12.3,-22.8,22.7,-36.8,-9.9,-3726.3,162.7,22.1,-2250.3,20.7,-20.7,-40.9,0,0,21510,0,8,0,
11.9500,30.6,-51.8,87.1,34.5,53.3,-30.6,-32.9,49.0,-1264.4,27.2,131.7,136.8,-43.7,-51.6,-6.3,-67.1,-9.3,-3735.6,139.0,3.9,-2256.0,-2.4,-47.7,-69.3,0,0,21516,0,9,0,
11.9533,79.5,-44.0,103.2,37.2,76.4,-17.7,-19.4,12.5,-966.9,48.7,159.2,164.5,-25.5,-26.4,15.8,-44.3,-10.2,-3727.8,155.8,8.4,-2249.1,19.2,-26.1,-39.2,0,0,21522,0,10,0,
11.9567,66.9,-32.6,96.4,42.3,58.4,-23.1,-21.5,40.3,-1264.4,24.8,143.3,144.2,-19.5,-35.1,7.8,-56.6,-9.9,-3738.9,147.7,1.8,-2269.5,-3.9,-39.9,-52.9,0,0,21528,0,11,0,
11.9600,52.8,-28.7,111.0,54.6,71.0,-13.2,-9.9,60.0,-1115.6,48.7,164.5,161.9,-6.0,-24.3,7.8,-42.2,-9.3,-3706.8,166.9,17.3,-2227.2,18.3,-19.2,-34.4,0,0,21534,0,12,0,
11.9633,49.5,-58.1,81.7,15.6,44.9,-44.3,-38.3,-9.6,-1190.0,29.0,137.1,138.3,-31.4,-48.0,-13.7,-67.4,-9.3,-3741.3,131.9,-17.0,-2265.6,-3.0,-47.7,-62.5,0,0,21540,0,13,0,
11.9667,75.0,-13.5,113.1,67.5,77.0,5.7,2.1,80.9,-1190.0,43.4,160.1,167.5,-2.7,-21.3,18.5,-38.0,-9.9,-3704.7,164.5,28.4,-2229.9,23.1,-12.9,-25.7,0,0,21546,0,14,0,
11.9700,56.1,-49.1,90.4,31.8,61.7,-29.7,-30.5,28.7,-1115.6,34.4,146.9,153.8,-24.6,-37.8,0.3,-56.9,-9.6,-3733.8,146.2,1.8,-2258.1,9.9,-34.2,-57.4,0,0,21552,0,15,0,
11.9733,71.4,-47.3,84.4,27.3,56.3,-25.5,-29.3,8.4,-1115.6,17.0,138.9,146.6,-28.4,-42.6,-6.6,-63.2,-9.6,-3741.6,135.8,-6.9,-2271.6,-2.4,-39.6,-55.6,0,0,21558,0,16,0,
11.9767,80.7,0.9,122.4,74.1,89.9,15.6,10.2,93.2,-1338.8,56.5,169.3,176.2,12.3,-7.8,32.3,-28.5,-9.6,-3710.1,174.7,37.4,-2233.5,24.6,-7.2,-23.9,0,0,21564,0,17,0,
11.9800,16.2,-79.0,61.0,-8.1,31.5,-58.4,-60.7,-20.0,-1041.3,3.6,112.6,120.9,-56.3,-64.2,-29.0,-86.6,-9.6,-3764.1,113.0,-32.9,-2290.8,-18.6,-65.7,-79.5,0,0,21570,0,18,0,
11.9833,102.6,1.5,120.0,64.2,92.3,26.4,13.8,60.0,-1190.0,59.5,163.9,170.2,-5.4,-11.4,31.1,-27.6,-9.9,-3698.4,168.1,29.9,-2225.7,28.5,-4.5,-22.4,0,0,21576,0,19,0,
11.9867,41.4,-49.7,80.2,24.3,43.5,-31.2,-33.8,43.6,-1115.6,13.5,125.4,131.1,-46.4,-52.8,-9.9,-70.7,-9.6,-3733.8,131.3,-13.4,-2266.5,-7.2,-47.7,-64.0,0,0,21582,0,20,0,
11.9900,65.4,-50.0,85.9,12.6,52.7,-44.6,-29.0,-3.3,-966.9,32.9,140.1,143.6,-42.5,-43.8,-0.6,-60.5,-9.6,-3743.4,132.5,-16.1,-2275.8,1.5,-36.0,-50.8,0,0,21588,0,21,0,
11.9933,81.3,-12.0,109.8,51.9,68.6,-1.5,2.4,69.0,-1115.6,32.0,150.5,152.6,-12.0,-21.3,22.1,-39.5,-9.9,-3728.7,158.8,13.4,-2256.9,17.1,-17.4,-40.1,0,0,21594,0,22,0,
11.9967,10.5,-67.7,70.6,8.4,34.5,-41.3,-39.2,22.7,-1338.8,21.2,123.9,122.1,-53.9,-59.1,-17.3,-76.4,-9.6,-3756.0,124.1,-27.5,-2282.4,-18.0,-51.6,-75.3,0,0,21600,0,23,0,
12.0000,83.7,-36.2,99.4,28.5,62.0,-14.1,-11.7,13.4,-1041.3,39.2,153.8,151.7,-18.9,-25.2,15.5,-42.5,-9.6,-3738.0,151.9,-8.7,-2264.1,11.7,-16.8,-40.7,0,0,21606,0,24,0,
12.0033,49.5,-49.4,82.9,29.7,39.6,-36.6,-26.0,52.3,-1487.5,19.4,134.1,129.3,-29.3,-46.8,-6.3,-65.0,-9.9,-3751.5,138.7,-10.2,-2281.8,-8.7,-42.9,-65.2,0,0,21612,0,25,0,
12.0067,50.1,-60.8,89.2,23.7,54.8,-25.8,-21.5,20.9,-1115.6,23.0,145.7,144.5,-22.8,-34.5,5.1,-48.2,-9.6,-3735.3,145.3,-10.2,-2262.9,11.4,-25.2,-42.1,0,0,21618,0,26,0,
12.0100,55.8,-53.6,75.7,14.4,41.1,-43.1,-33.2,4.8,-1264.4,17.3,126.0,128.1,-34.4,-49.8,-9.9,-67.1,-9.6,-3753.0,130.4,-23.9,-2280.0,-7.5,-45.3,-72.3,0,0,21624,0,27,0,
12.0133,45.0,-27.2,107.1,56.1,73.4,-8.7,-7.2,78.0,-1190.0,49.6,155.0,160.1,-11.7,-29.1,15.5,-41.3,-9.3,-3705.6,163.9,23.9,-2236.5,22.8,-21.0,-38.6,0,0,21630,0,28,0,
12.0167,39.9,-76.0,72.4,10.8,50.0,-46.1,-44.6,-6.6,-1115.6,26.9,133.8,142.1,-46.1,-56.7,-17.6,-69.5,-9.6,-3738.9,125.9,-15.8,-2271.3,2.7,-49.8,-65.2,0,0,21636,0,29,0,
12.0200,80.4,-36.8,97.0,49.8,74.3,-7.5,-11.4,49.0,-1190.0,43.1,151.7,158.9,-28.2,-40.5,6.3,-47.3,-9.6,-3733.2,155.2,20.6,-2261.4,6.9,-27.6,-45.4,0,0,21642,0,30,0,
12.0233,51.3,-35.6,102.9,53.1,78.8,-2.4,-7.8,70.2,-1190.0,33.2,156.2,164.5,-17.1,-29.7,12.0,-40.7,-9.6,-3716.7,155.5,24.2,-2244.9,15.3,-21.6,-49.6,0,0,21648,0,31,0,
12.0267,36.3,-80.8,66.7,1.2,39.0,-50.9,-49.7,-17.3,-1041.3,8.4,128.4,124.8,-54.2,-66.3,-27.5,-84.5,-9.6,-3758.1,119.0,-36.5,-2284.8,-15.0,-60.9,-76.5,0,0,21654,0,32,0,
12.0300,84.0,4.8,134.4,87.0,101.3,16.5,22.7,100.7,-1264.4,57.1,181.3,186.9,20.1,-0.6,40.3,-25.5,-9.9,-3695.4,188.2,42.4,-2218.2,42.0,-0.6,-21.8,0,0,21660,0,33,0,
12.0333,13.2,-79.0,67.6,8.1,35.4,-53.0,-50.2,15.5,-1115.6,0.6,117.4,118.6,-53.9,-67.8,-31.1,-89.6,-9.6,-3779.1,119.0,-30.5,-2305.2,-21.0,-64.8,-79.5,0,0,21666,0,34,0,
12.0367,99.3,-10.8,114.0,50.1,78.2,-3.6,-3.3,35.5,-966.9,44.2,159.2,161.0,-5.4,-22.5,14.3,-44.3,-9.9,-3735.9,161.2,3.0,-2260.5,14.7,-21.6,-51.7,0,0,21672,0,35,0,
12.0400,53.4,-29.3,109.2,59.7,69.2,-3.6,-7.8,82.1,-1413.1,37.1,153.2,152.6,-16.2,-33.6,3.0,-56.0,-9.6,-3721.5,167.5,11.4,-2243.4,9.3,-30.0,-50.5,0,0,21678,0,36,0,
12.0433,29.7,-72.1,80.8,15.9,48.8,-39.2,-40.7,7.8,-966.9,22.7,139.2,136.2,-44.6,-50.1,-18.5,-74.9,-9.6,-3758.1,135.2,-23.3,-2270.1,-9.0,-53.4,-74.1,0,0,21684,0,37,0,
12.0467,79.8,-17.7,119.7,59.4,84.8,1.2,6.0,53.2,-1190.0,50.2,172.3,167.8,-9.6,-19.5,20.9,-36.8,-9.6,-3723.9,175.3,14.6,-2243.7,24.9,-12.3,-22.4,0,0,21690,0,38,0,
12.0500,28.5,-37.1,85.6,33.6,51.5,-27.6,-25.7,59.7,-1264.4,21.8,133.5,137.1,-39.5,-55.5,-14.3,-70.7,-9.9,-3734.7,137.2,-8.4,-2266.2,-20.7,-42.3,-53.5,0,0,21696,0,39,0,
12.0533,78.9,-41.0,109.2,41.7,80.0,-13.8,-12.3,21.8,-1041.3,52.0,163.6,166.0,-23.7,-32.1,1.5,-47.3,-9.6,-3723.6,163.0,5.1,-2245.8,25.5,-22.5,-33.8,0,0,21702,0,40,0,
12.0567,60.9,-42.5,95.8,47.7,64.1,-18.3,-15.9,52.3,-1264.4,42.2,144.2,143.6,-33.5,-51.0,-6.3,-61.7,-9.9,-3736.2,147.1,0.0,-2248.2,6.9,-33.9,-50.2,0,0,21708,0,41,0,
12.0600,50.4,-34.4,112.2,58.8,86.6,18.0,-4.8,70.5,-1190.0,43.7,163.1,166.6,-9.6,-16.5,6.9,-48.2,-9.6,-3700.8,163.0,15.8,-2188.2,17.1,-21.0,-38.0,0,0,21714,0,42,0,
12.0633,48.6,-57.2,86.5,20.7,56.6,-41.9,-34.1,0.9,-1041.3,20.9,143.0,146.6,-24.0,-50.7,-16.1,-72.8,-9.6,-3726.0,134.6,-18.8,-2175.6,4.8,-44.1,-53.2,0,0,21720,0,43,0,
12.0667,70.5,-11.1,117.9,67.8,81.5,1.5,1.2,86.6,-1338.8,35.6,160.7,166.9,1.5,-23.1,14.9,-45.5,-9.6,-3696.6,167.8,31.4,-2101.2,16.2,-17.1,-34.4,0,0,21726,0,44,0,
12.0700,45.6,-59.3,92.2,29.4,61.4,-29.7,-28.1,32.9,-966.9,31.1,146.0,151.1,-26.1,-45.3,-7.8,-65.0,-9.6,-3711.3,142.6,0.9,-2091.6,3.6,-40.8,-52.6,0,0,21732,0,45,0,
12.0733,61.5,-50.6,84.4,24.9,54.5,-28.8,-31.7,15.5,-1264.4,21.5,136.5,139.5,-34.4,-51.0,-11.7,-69.5,-9.9,-3733.5,131.6,-20.0,-2082.0,-6.9,-44.1,-60.4,0,0,21738,0,46,0,
12.0767,72.9,-4.8,124.2,75.3,87.8,9.9,7.8,108.1,-1338.8,57.7,170.8,174.1,11.7,-14.1,25.7,-35.3,-9.6,-3687.6,176.8,31.4,-2015.7,26.7,-12.0,-29.0,0,0,21744,0,47,0,
12.0800,14.4,-83.8,59.8,-4.8,31.2,-59.0,-59.8,-11.9,-1115.6,6.9,119.5,122.4,-55.4,-66.9,-31.7,-88.4,-9.9,-3725.7,113.0,-39.1,-2080.8,-24.3,-64.8,-81.3,0,0,21750,0,48,0,
12.0833,102.9,2.1,125.4,70.2,87.5,11.1,14.4,69.6,-1115.6,66.7,178.0,175.6,16.2,-4.8,32.0,-29.1,-9.6,-3637.2,182.8,26.3,-2031.6,35.7,-3.9,-19.1,0,0,21756,0,49,0,
12.0867,39.3,-49.7,80.2,29.7,47.6,-21.9,-30.5,54.1,-1190.0,19.1,135.3,133.8,-38.6,-51.6,-12.9,-72.5,-9.6,-3676.2,140.2,-11.1,-2094.9,-7.2,-44.1,-59.8,0,0,21762,0,50,0,
12.0900,59.7,-49.1,85.0,18.6,58.1,-17.4,-25.1,6.0,-966.9,28.7,145.1,143.9,-31.1,-39.9,-6.3,-62.9,-9.6,-3716.1,138.7,-19.7,-2184.0,-1.5,-35.7,-52.3,0,0,21768,0,51,0,
12.0933,79.5,-10.5,106.2,56.7,68.9,-6.6,2.7,77.4,-1338.8,42.8,158.6,154.1,-6.6,-26.4,14.6,-41.9,-9.6,-3693.3,164.5,12.3,-2223.6,15.0,-21.3,-41.5,0,0,21774,0,52,0,
12.0967,6.6,-70.3,66.7,10.2,36.3,-44.3,-41.0,32.9,-1190.0,7.8,124.2,125.1,-47.0,-64.2,-22.7,-76.4,-9.6,-3715.5,123.2,-25.1,-2295.6,-12.6,-53.1,-75.0,0,0,21780,0,53,0,
12.1000,85.2,-31.1,100.5,39.9,74.3,-8.1,-6.6,32.3,-1115.6,46.3,160.1,162.2,-9.6,-25.5,12.3,-41.3,-9.6,-3709.2,156.7,3.6,-2299.5,18.0,-18.0,-39.8,0,0,21786,0,54,0,
12.1033,49.5,-35.6,85.6,39.6,52.1,-17.4,-16.5,67.2,-1264.4,15.2,134.4,136.5,-30.8,-51.3,-6.0,-63.5,-9.9,-3727.2,144.4,-2.7,-2311.8,-6.0,-34.2,-55.9,0,0,21792,0,55,0,
12.1067,54.6,-40.7,102.3,39.6,71.6,-15.6,-13.8,38.2,-1190.0,54.4,160.4,161.9,-19.5,-34.5,5.7,-45.8,-9.9,-3694.2,158.8,5.1,-2266.2,22.2,-18.0,-41.2,0,0,21798,0,56,0,
12.1100,58.2,-40.7,85.9,27.9,55.4,-17.7,-20.0,19.7,-1115.6,26.0,142.1,141.3,-30.5,-51.6,-9.0,-62.0,-9.9,-3707.1,142.9,-11.7,-2273.4,-14.7,-34.5,-58.6,0,0,21804,0,57,0,
12.1133,40.2,-23.1,104.1,59.1,78.2,1.8,2.1,87.8,-1264.4,48.7,159.5,166.9,-12.0,-30.0,15.2,-43.7,-9.6,-3668.7,165.4,32.6,-2215.8,22.8,-15.3,-27.5,0,0,21810,0,58,0,
12.1167,36.9,-68.9,72.7,7.2,47.0,-50.3,-36.8,-3.6,-1041.3,17.3,133.2,137.7,-48.2,-56.7,-14.0,-71.9,-9.9,-3713.1,130.4,-22.4,-2250.3,-3.3,-48.0,-66.4,0,0,21816,0,59,0,
12.1200,78.6,-29.6,94.6,43.5,65.6,-12.3,-6.0,52.3,-1115.6,29.0,147.5,152.0,-14.4,-39.0,6.0,-56.0,-9.9,-3714.6,154.9,3.9,-2235.3,2.4,-29.7,-48.1,0,0,21822,0,60,0,
12.1233,50.1,-41.6,95.5,48.6,70.1,-10.8,-3.0,72.6,-1115.6,39.5,152.6,157.7,-16.5,-35.4,9.3,-49.7,-9.6,-3712.8,153.4,8.7,-2230.5,14.7,-24.3,-42.1,0,0,21828,0,61,0,
12.1267,35.7,-82.3,58.4,-5.1,33.9,-56.9,-50.8,-17.3,-1041.3,-4.8,117.7,120.3,-58.4,-72.6,-29.0,-89.6,-9.9,-3764.4,113.0,-41.8,-2280.3,-27.6,-66.0,-87.0,0,0,21834,0,62,0,
12.1300,78.6,-9.9,115.8,76.5,92.3,12.0,18.5,99.2,-1338.8,46.9,169.6,171.7,1.8,-14.4,34.4,-29.4,-10.2,-3691.5,175.6,33.5,-2211.6,28.5,-7.5,-23.3,0,0,21840,0,63,0,
12.1333,11.7,-78.7,58.4,0.6,32.7,-60.2,-56.2,13.1,-1041.3,-11.7,114.7,120.3,-59.6,-73.2,-29.9,-92.8,-9.9,-3753.6,111.2,-32.6,-2277.3,-30.3,-70.2,-87.0,0,0,21846,0,64,0,
12.1367,97.8,-27.2,99.1,40.2,72.8,-11.1,-12.0,28.7,-1041.3,39.5,153.5,155.9,-18.9,-29.1,17.3,-50.6,-9.6,-3714.6,152.2,4.2,-2238.9,7.5,-30.6,-51.1,0,0,21852,0,65,0,
12.1400,55.5,-25.7,95.2,51.3,65.9,6.0,-12.0,77.1,-1264.4,17.9,144.8,147.2,-26.7,-41.7,5.4,-62.3,-9.3,-3709.8,147.4,6.3,-2234.4,-6.3,-39.6,-61.9,0,0,21858,0,66,0,
12.1433,33.9,-65.3,77.2,16.5,48.5,-59.3,-46.4,6.6,-1041.3,12.3,137.4,141.0,-50.3,-62.1,-22.7,-78.8,-9.9,-3742.5,134.3,-16.1,-2259.9,-12.3,-54.3,-66.1,0,0,21864,0,67,0,
12.1467,82.8,-13.5,113.7,63.6,87.8,-2.1,2.1,50.5,-1041.3,49.3,168.1,172.6,-18.6,-21.9,22.7,-39.8,-9.6,-3714.6,169.9,22.1,-2234.7,14.1,-20.4,-33.5,0,0,21870,0,68,0,
12.1500,30.3,-47.6,86.2,43.5,57.2,-27.6,-30.8,56.5,-1190.0,12.6,140.1,143.3,-47.6,-53.7,-11.7,-72.2,-9.6,-3733.5,143.8,3.9,-2256.0,-12.3,-50.1,-70.5,0,0,21876,0,69,0,
12.1533,80.7,-38.6,106.5,43.2,82.4,-16.5,-15.0,19.1,-892.5,47.8,166.9,171.4,-22.5,-31.8,9.3,-49.1,-9.6,-3727.5,160.3,7.5,-2245.8,12.3,-26.1,-43.9,0,0,21882,0,70,0,
12.1567,63.6,-34.4,97.9,53.4,65.9,-19.5,-15.9,51.4,-1264.4,13.8,147.2,152.9,-30.5,-49.8,-2.7,-63.8,-9.9,-3748.2,149.2,8.1,-2266.2,-12.0,-40.2,-55.6,0,0,21888,0,71,0,
